93.180.71.3 , 17/May/2015:08:05:32 +0000, GET, /downloads/product_1, 304, 0
93.180.71.3 , 17/May/2015:08:05:23 +0000, GET, /downloads/product_1, 304, 0
80.91.33.133 , 17/May/2015:08:05:24 +0000, GET, /downloads/product_1, 304, 0
93.180.71.3 , 17/May/2015:08:05:57 +0000, GET, /downloads/product_1, 304, 0
80.91.33.133 , 17/May/2015:08:05:01 +0000, GET, /downloads/product_1, 304, 0
93.180.71.3 , 17/May/2015:08:05:27 +0000, GET, /downloads/product_1, 304, 0
80.91.33.133 , 17/May/2015:08:05:14 +0000, GET, /downloads/product_1, 304, 0
46.4.66.76 , 17/May/2015:08:05:45 +0000, GET, /downloads/product_1, 404, 318
93.180.71.3 , 17/May/2015:08:05:26 +0000, GET, /downloads/product_1, 404, 324
91.234.194.89 , 17/May/2015:08:05:22 +0000, GET, /downloads/product_2, 304, 0
80.91.33.133 , 17/May/2015:08:05:07 +0000, GET, /downloads/product_1, 304, 0
37.26.93.214 , 17/May/2015:08:05:38 +0000, GET, /downloads/product_2, 404, 319
93.180.71.3 , 17/May/2015:08:05:11 +0000, GET, /downloads/product_1, 404, 340
46.4.66.76 , 17/May/2015:08:05:02 +0000, GET, /downloads/product_1, 304, 0
62.75.198.179 , 17/May/2015:08:05:06 +0000, GET, /downloads/product_2, 200, 490
80.91.33.133 , 17/May/2015:08:05:55 +0000, GET, /downloads/product_1, 304, 0
46.4.83.163 , 17/May/2015:08:05:52 +0000, GET, /downloads/product_2, 304, 0
91.234.194.89 , 17/May/2015:08:05:18 +0000, GET, /downloads/product_2, 304, 0
31.22.86.126 , 17/May/2015:08:05:24 +0000, GET, /downloads/product_1, 304, 0
80.91.33.133 , 17/May/2015:08:05:50 +0000, GET, /downloads/product_1, 304, 0
80.91.33.133 , 17/May/2015:08:05:35 +0000, GET, /downloads/product_1, 304, 0
5.83.131.103 , 17/May/2015:08:05:51 +0000, GET, /downloads/product_1, 200, 490
80.91.33.133 , 17/May/2015:08:05:59 +0000, GET, /downloads/product_1, 304, 0
80.91.33.133 , 17/May/2015:08:05:48 +0000, GET, /downloads/product_1, 404, 324
93.180.71.3 , 17/May/2015:08:05:58 +0000, GET, /downloads/product_1, 404, 337
62.75.198.179 , 17/May/2015:08:05:39 +0000, GET, /downloads/product_2, 304, 0
50.57.209.92 , 17/May/2015:08:05:41 +0000, GET, /downloads/product_2, 304, 0
46.4.66.76 , 17/May/2015:08:05:02 +0000, GET, /downloads/product_1, 304, 0
50.57.209.92 , 17/May/2015:08:05:25 +0000, GET, /downloads/product_1, 304, 0
91.239.186.133 , 17/May/2015:08:05:04 +0000, GET, /downloads/product_2, 304, 0
80.91.33.133 , 17/May/2015:08:05:04 +0000, GET, /downloads/product_1, 304, 0
93.190.71.150 , 17/May/2015:08:05:33 +0000, GET, /downloads/product_2, 304, 0
91.234.194.89 , 17/May/2015:08:05:57 +0000, GET, /downloads/product_2, 304, 0
46.4.83.163 , 17/May/2015:08:05:20 +0000, GET, /downloads/product_1, 304, 0
54.187.216.43 , 17/May/2015:08:05:07 +0000, GET, /downloads/product_2, 200, 951
